"Family Name First","Forename First","Birth Date","Death Date","Age","Memorized"
"SCHUMANN, Clara Wieck","Clara Wieck Schumann","1819","1896","77",""
"SCHUMANN, Robert Alexander","Robert Schumann","1810","1856","46","Y"
"SCRIABIN, Alexander Nikolaevich","Alexander Nikolaevich Scriabin","1872","1915","43",""
"SEGOVIA, Andrés","Andrés Segovia","1893","1987","94",""
"SHOSTAKOVICH, Dimitri","Dmitri Shostakovich","1906","1975","69",""
"SIBELIUS, Jean (Johan Julius Christian","Jean (Johan Julius Christian Sibelius","1865","1957","92",""
"STRAUSS, Johann II","Johann Strauss II","1825","1899","74",""
"STRAUSS, Richard","Richard Strauss","1864","1949","85",""
"STRAVINSKY, Igor","Igor Stravinsky","1882","1971","89",""
"TALLIS, Thomas","Thomas Tallis","1505","1585","80",""
"TAVERNER, John","John Taverner","1490","1545","55","Y"
"TCHAIKOVSKY, Piotr Ilyich","Piotr Ilyich Tchaikovsky","1840","1893","53","Y"
"TELEMANN, Georg Philipp","Georg Philipp Telemann","1681","1767","86",""
"TIPPETT, Sir Michael Kemp","Sir Michael Kemp Tippett","1905","1998","93",""
"VAUGHAN WILLIAMS, Ralph","Ralph Vaughan Williams","1872","1958","86",""
"VERDI, Giuseppe Fortunino Francesco","Giuseppe Verdi","1813","1901","88","Y"
"VILLA-LOBOS, Heitor","Heitor Villa-Lôbos","1887","1959","72",""
"VIVALDI, Antonio Lucio","Antonio Vivaldi","1678","1741","63","Y"
"WAGNER, Wilhelm Richard","Wilhelm Richard Wagner","1813","1883","70",""
"WEBER, Carl Maria Friedrich Ernst, Freiherr von","Carl Maria Friedrich Ernst Freiherr von Weber","1786","1826","40",""
